const,cast,cast_id,cover_url,genres,plot,rating,title,year
49730,"John Wayne, Jeffrey Hunter, Vera Miles","['0000078', '0001374', '0587256', '0000955', '0000081', '0702798', '0137010', '0104770', '0193411', '0001013']","https://m.media-amazon.com/images/M/MV5BYWQ3YWJiMDEtMDBhNS00YjY1LTkzNmEtY2U4Njg4MjQ3YWE3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX101_CR0,0,101,150_.jpg","Adventure, Drama, Western",An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,8.0,The Searchers,1956
115685,"Robin Williams, Gene Hackman, Nathan Lane","['0000245', '0000432', '0001447', '0001848', '0001246', '0001222', '0000279', '0004724', '0569711', '0381416']","https://m.media-amazon.com/images/M/MV5BMTM2NjExODYyOF5BMl5BanBnXkFtZTcwNTc0NjgyNA@@._V1_SX101_CR0,0,101,150_.jpg",Comedy,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.,7.0,The Birdcage,1996
110074,"Tim Robbins, Jennifer Jason Leigh, Paul Newman","['0000209', '0000492', '0000056', '0001164', '0001498', '0874082', '0167850', '0132257', '0119505', '0782715']","https://m.media-amazon.com/images/M/MV5BMzNkYzI4ZTYtZjJlZC00ZTVjLTk2MDYtYWMwODA0NmFiYTIwXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SY150_CR0,0,101,150_.jpg","Comedy, Drama, Fantasy",A naive business graduate is installed as president of a manufacturing company as part of a stock scam.,7.3,The Hudsucker Proxy,1994
92563,"Mickey Rourke, Robert De Niro, Lisa Bonet","['0000620', '0000134', '0000956', '0001648', '0285027', '0569185', '0383449', '0924378', '0444751', '0330691']","https://m.media-amazon.com/images/M/MV5BZmQ3Mzg3YjgtNTA1Zi00ODgyLTkyZGUtYTE5NDA5ZmI4NjI1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX101_CR0,0,101,150_.jpg","Horror, Mystery, Thriller",A private investigator is hired by a man who calls himself Louis Cyphre to track down a singer named Johnny Favorite. But the investigation takes an unexpected and somber turn.,7.3,Angel Heart,1987
141926,"Matthew McConaughey, Bill Paxton, Harvey Keitel","['0000190', '0000200', '0000172', '0000954', '0001418', '0470981', '0916617', '0005276', '0347509', '0261678']","https://m.media-amazon.com/images/M/MV5BMDE0YzUwMzMtY2NhZS00OGYxLWFhOWItN2ZlZThjOTA0NDQ4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX101_CR0,0,101,150_.jpg","Action, War",A German submarine is boarded by disguised American submariners trying to capture their Enigma cipher machine.,6.6,U-571,2000
112401,"Sylvester Stallone, Antonio Banderas, Julianne Moore","['0000230', '0000104', '0000194', '0205863', '0002901', '0434676', '0746414', '0224703', '0943280', '0803828']","https://m.media-amazon.com/images/M/MV5BZGI1NDA4ZDItNTRjMi00YTU3LTkwZDEtYjdlNTI1ZjQxZDM1XkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SY150_CR7,0,101,150_.jpg","Action, Crime, Thriller",Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,6.3,Assassins,1995
1152398,"Alex Pettyfer, Justin Bradley, Mary-Kate Olsen","['1641117', '0103299', '0001581', '0424848', '0461712', '1227814', '2403407', '0470244', '0004986', '2393063']","https://m.media-amazon.com/images/M/MV5BMzUzMTcxMTEzNV5BMl5BanBnXkFtZTcwMTcwNjcxNA@@._V1_SY150_CR0,0,101,150_.jpg","Drama, Fantasy, Romance","A modern-day take on the ""Beauty and the Beast"" tale where a New York teen is transformed into a hideous monster in order to find true love.",5.6,Beastly,2011
97778,"John Travolta, Kirstie Alley, Olympia Dukakis","['0000237', '0000263', '0001156', '0001719', '0001820', '0000246', '0135245', '0769960', '0913957', '2844781']","https://m.media-amazon.com/images/M/MV5BYWQzNGM0NjQtODI5MC00ODZjLTgyZDktYWI0YmJkYjcwNzA4XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX101_CR0,0,101,150_.jpg",Comedy,"After a single, career-minded woman is left on her own to give birth to the child of a married man, she finds a new romantic chance in a cab driver. Meanwhile, the point-of-view of the newborn boy is narrated through voice-over.",5.8,Look Who's Talking,1989
864761,"Keira Knightley, Ralph Fiennes, Charlotte Rampling","['0461136', '0000146', '0001648', '1002641', '2017943', '0564402', '1264521', '0795344', '0677944', '0324009']","https://m.media-amazon.com/images/M/MV5BMTU1MTQzMjgzNl5BMl5BanBnXkFtZTcwNTQxMzk3MQ@@._V1_SY150_CR0,0,101,150_.jpg","Biography, Drama, History","A chronicle of the life of 18th-century aristocrat Georgiana, Duchess of Devonshire, who was reviled for her extravagant political and personal life.",6.9,The Duchess,2008
377818,"Johnny Knoxville, Seann William Scott, Alice Greczyn","['0424216', '0005405', '1445490', '0501399', '0922995', '0105497', '0740220', '0005433', '0855061', '0933308']","https://m.media-amazon.com/images/M/MV5BMjAwOTYxODI4OV5BMl5BanBnXkFtZTcwNDYxODIzMw@@._V1_SY150_CR0,0,101,150_.jpg","Adventure, Comedy","Cousins Bo, Luke, and Daisy Duke, and their uncle Jesse, egg on the authorities of Hazzard County, Boss Hogg and Sheriff Coltrane.",5.1,The Dukes of Hazzard,2005
1117385,"Stephen Dorff, Marisol Nichols, Vincent Miller","['0001151', '0629653', '3057328', '0000271', '1277586', '0000174', '0001731', '0507381', '0674782', '2114049']","https://m.media-amazon.com/images/M/MV5BZmNhYjNlNDQtYjdlMS00NzM4LThjMzctOTA2ODE4YTk4ZTA5XkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SY150_CR2,0,101,150_.jpg","Crime, Drama",A family man convicted of killing an intruder must cope with life afterward in the violent penal system.,7.5,Felon,2008
1600195,"Jake Andolina, Oriah Acima Andrews, Ken Arnold","['1362962', '4670877', '1290135', '0004742', '1676505', '4669631', '0128861', '4669655', '3261191', '0149150']","https://m.media-amazon.com/images/M/MV5BMTkxNzU3OTg0Nl5BMl5BanBnXkFtZTcwNDY5MDY2Ng@@._V1_SY150_CR0,0,101,150_.jpg","Action, Mystery, Thriller",A thriller centered on a young man who sets out to uncover the truth about his life after finding his baby photo on a missing persons website.,5.1,Abduction,2011
1911658,"Tom McGrath, Chris Miller, Christopher Knights","['0569891', '3735491', '0971017', '0970447', '0000518', '1212722', '0421822', '3393732', '0001780', '0725200']","https://m.media-amazon.com/images/M/MV5BMTEyMDg4MDU4MjdeQTJeQWpwZ15BbWU4MDQyOTc3MjIx._V1_SY150_CR0,0,101,150_.jpg","Animation, Adventure, Comedy","Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it.",6.7,Penguins of Madagascar,2014
